127.0.0.1 - - [08/May/2020:11:12:01 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:41 -0300] "GET /QWCFPFileExplorer-1.0.0.2/ HTTP/1.1" 401 1061
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:45 -0300] "GET /QWCFPFileExplorer-1.0.0.2/ HTTP/1.1" 401 981
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/css/default.css HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/layout/layout.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/watermark/watermark.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/fileupload/fileupload.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/theme.css.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 35087
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/fa/font-awesome.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 23240
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/terminal/terminal.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/scrollpanel/scrollpanel.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 240240
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/layout/layout.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/watermark/watermark.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 5360
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/fileupload/fileupload.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 31942
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/primefaces.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 340589
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/primefaces.css.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 63657
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/terminal/terminal.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/scrollpanel/scrollpanel.js.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 16005
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:51 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/images/ui-icons_333333_256x240.png.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:52 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/fa/fontawesome-webfont.woff.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 65521
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:52 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/images/ui-icons_333333_256x240.png.jsf?ln=primefaces-bootstrap HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:52 -0300] "GET /QWCFPFileExplorer-1.0.0.2/ HTTP/1.1" 200 1619587
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:52 -0300] "GET /QWCFPFileExplorer-1.0.0.2/images/logo-large.png?pfdrid_c=true HTTP/1.1" 200 110309
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:52 -0300] "GET /QWCFPFileExplorer-1.0.0.2/javax.faces.resource/spacer/dot_clear.gif.jsf?ln=primefaces&v=5.2 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:53 -0300] "GET /QWCFPFileExplorer-1.0.0.2/images/loading.png?pfdrid_c=true HTTP/1.1" 200 94469
0:0:0:0:0:0:0:1 - - [08/May/2020:11:14:53 -0300] "GET /QWCFPFileExplorer-1.0.0.2/images/logo.png?pfdrid_c=true HTTP/1.1" 200 6887
